id,cluster
3020230045149-api_xml-0-IMG-0,16
3020200024462-api_xml-2-IMG-2,18
3020170007961-api_xml-1-IMG-1,5
3020200064164-api_xml-1-IMG-1,10
3020220004561-api_xml-0-IMG-0,1
3020240000100-api_xml-0-IMG-0,34
3020230013030-api_xml-0-IMG-0,13
3020160047376-api_xml-1-IMG-1,5
3020220039239-api_xml-1-IMG-1,7
3020230005057-api_xml-2-IMG-2,2
3020180057270-api_xml-2-IMG-2,28
3020200040141-api_xml-1-IMG-1,20
3020240054080-api_xml-1-IMG-1,20
3020180062493-api_xml-0-IMG-0,12
3020130039790-api_xml-1-IMG-1,1
3020210054375-api_xml-0-IMG-0,43
3020210013915-api_xml-2-IMG-2,43
3020230032255-api_xml-0-IMG-0,5
3020230052945-api_xml-0-IMG-0,34
3020220048400-api_xml-0-IMG-0,47
3020250012690-api_xml-2-IMG-2,27
3020250016846-api_xml-2-IMG-2,45
3020190047448-api_xml-2-IMG-2,20
3020200032718-api_xml-0-IMG-0,34
3020240054378-api_xml-2-IMG-2,13
3020130027305-api_xml-2-IMG-2,10
3020250032489-api_xml-0-IMG-0,36
3020170006443-api_xml-1-IMG-1,25
3020220024534-api_xml-1-IMG-1,10
3020230030764-api_xml-1-IMG-1,33
3020250008340-api_xml-2-IMG-2,11
3020130031362-api_xml-0-IMG-0,36
3020200037806-api_xml-2-IMG-2,18
3020120053303-api_xml-1-IMG-1,8
3020240006738-api_xml-1-IMG-1,0
3020230012699-api_xml-2-IMG-2,22
3020210021140-api_xml-0-IMG-0,43
3020190049057-api_xml-2-IMG-2,2
3020190003223-api_xml-0-IMG-0,43
3020180014885-api_xml-2-IMG-2,26
3020160048886-api_xml-0-IMG-0,12
3020230007502-api_xml-2-IMG-2,38
3020230047942-api_xml-2-IMG-2,13
3020170042499-api_xml-2-IMG-2,42
3020240048621-api_xml-2-IMG-2,6
3020230018516-api_xml-1-IMG-1,5
3020200018576-api_xml-2-IMG-2,3
3020240023418-api_xml-2-IMG-2,20
3020230030612-api_xml-1-IMG-1,2
3020190037083-api_xml-2-IMG-2,0
3020120006015-api_xml-0-IMG-0,14
3020140046037-api_xml-0-IMG-0,3
3020250014392-api_xml-0-IMG-0,32
3020110024739-api_xml-1-IMG-1,37
3020220049722-api_xml-0-IMG-0,6
3020160043668-api_xml-1-IMG-1,20
3020200048038-api_xml-2-IMG-2,41
3020190051771-api_xml-2-IMG-2,1
3020240036208-api_xml-0-IMG-0,27
3020180014660-api_xml-1-IMG-1,7
3020150012549-api_xml-1-IMG-1,39
3020200000485-api_xml-2-IMG-2,4
3020130006016-api_xml-2-IMG-2,14
3020220019132-api_xml-2-IMG-2,2
3020160029328-api_xml-2-IMG-2,16
3020120061366-api_xml-0-IMG-0,12
3020210056053-api_xml-1-IMG-1,38
3020230042263-api_xml-2-IMG-2,32
3020240012130-api_xml-0-IMG-0,17
3020160055593-api_xml-1-IMG-1,21
3020160012004-api_xml-1-IMG-1,21
3020150063475-api_xml-1-IMG-1,4
3020200025982-api_xml-2-IMG-2,37
3020190019685-api_xml-0-IMG-0,13
3020150042289-api_xml-2-IMG-2,29
3020120031576-api_xml-2-IMG-2,15
3020230020265-api_xml-0-IMG-0,34
3020180046394-api_xml-2-IMG-2,42
3020230029272-api_xml-0-IMG-0,25
3020230046848-api_xml-0-IMG-0,12
3020160037324-api_xml-2-IMG-2,0
3020220031609-api_xml-0-IMG-0,31
3020240010360-api_xml-1-IMG-1,25
3020190043156-api_xml-2-IMG-2,3
3020170023856-api_xml-0-IMG-0,47
3020250000933-api_xml-1-IMG-1,1
3020200046576-api_xml-1-IMG-1,6
3020120021034-api_xml-1-IMG-1,12
3020220023357-api_xml-1-IMG-1,25
3020190027639-api_xml-2-IMG-2,6
3020250008367-api_xml-1-IMG-1,9
3020130043680-api_xml-0-IMG-0,15
3020140038439-api_xml-1-IMG-1,8
3020230017633-api_xml-0-IMG-0,6
3020240003801-api_xml-0-IMG-0,39
3020190025641-api_xml-1-IMG-1,35
3020250028437-api_xml-1-IMG-1,40
3020200006258-api_xml-0-IMG-0,2
3020210005716-api_xml-1-IMG-1,13
3020170017929-api_xml-2-IMG-2,26
3020200011393-api_xml-1-IMG-1,0
3020250020115-api_xml-1-IMG-1,17
3020250000645-api_xml-1-IMG-1,9
3020140020907-api_xml-0-IMG-0,16
3020190035533-api_xml-1-IMG-1,45
3020200036287-api_xml-2-IMG-2,2
3020250000621-api_xml-0-IMG-0,47
3020170025354-api_xml-2-IMG-2,15
3020240008649-api_xml-0-IMG-0,47
3020220024272-api_xml-2-IMG-2,22
3020170004319-api_xml-0-IMG-0,31
3020150059289-api_xml-1-IMG-1,17
3020140019371-api_xml-2-IMG-2,1
3020220047194-api_xml-0-IMG-0,12
3020190019165-api_xml-2-IMG-2,37
3020200010712-api_xml-1-IMG-1,10
3020100034278-api_xml-0-IMG-0,6
3020120008012-api_xml-1-IMG-1,11
3020220039036-api_xml-0-IMG-0,36
3020180060219-api_xml-0-IMG-0,1
